N,P,K,temperature,humidity,ph,rainfall,label
92.48,39.31,43.24,28.05,84.3,6.43,243.69,rice
93.84,37.65,42.71,24.07,83.6,6.57,191.3,rice
81.38,37.19,34.94,25.63,82.28,6.08,241.98,rice
88.87,40.34,32.88,23.91,85.33,6.15,225.64,rice
87.0,38.54,36.99,28.7,84.96,6.18,232.34,rice
83.9,41.04,30.2,22.34,85.59,6.72,222.57,rice
89.42,38.49,32.61,23.56,83.62,6.82,225.15,rice
81.18,41.62,38.07,23.65,86.84,6.81,233.97,rice
85.8,38.45,41.66,26.95,83.56,6.44,203.4,rice
84.02,44.06,46.78,24.86,88.01,6.61,210.32,rice
91.81,47.69,39.82,28.13,77.14,6.75,221.31,rice
88.5,40.46,30.06,24.56,86.07,6.94,212.23,rice
85.96,37.49,44.58,25.66,83.41,6.65,221.46,rice
94.84,36.49,38.36,24.22,80.61,6.59,223.92,rice
90.03,38.83,32.92,24.16,83.97,6.26,217.58,rice
92.02,49.43,40.87,25.52,84.78,5.92,219.6,rice
90.3,52.32,39.04,25.6,84.9,6.15,237.14,rice
93.76,43.96,35.45,27.81,80.79,6.68,252.86,rice
85.05,37.17,40.5,23.99,80.35,6.52,204.07,rice
92.37,35.4,47.75,23.43,84.03,6.74,201.54,rice
91.14,46.54,31.96,25.37,85.78,6.73,201.45,rice
83.4,42.61,41.48,25.5,86.04,6.3,223.48,rice
91.47,36.43,49.33,25.95,81.43,6.7,205.38,rice
93.94,45.79,35.9,26.93,86.24,6.75,248.45,rice
88.77,36.23,35.55,23.37,84.77,6.6,224.15,rice
94.14,40.07,47.27,24.47,93.16,6.69,207.14,rice
84.65,42.41,38.88,26.43,86.42,6.48,207.3,rice
82.43,37.77,44.28,25.43,81.26,6.55,225.78,rice
85.58,40.77,40.29,22.71,86.07,6.67,236.25,rice
95.27,33.11,35.31,26.03,86.54,6.65,277.79,rice
92.85,45.68,44.77,26.3,84.05,6.73,208.41,rice
88.82,37.57,40.41,29.63,79.4,6.71,195.81,rice
87.64,45.44,40.32,22.84,82.85,6.7,209.04,rice
91.08,40.23,36.74,29.29,86.9,5.89,222.8,rice
86.69,44.26,36.04,24.77,86.51,6.76,202.0,rice
88.33,37.63,36.73,28.53,86.21,6.12,233.77,rice
100.61,45.16,32.4,24.03,88.8,6.29,226.66,rice
93.87,35.37,39.7,18.52,81.93,6.42,201.28,rice
98.16,32.85,37.8,25.26,89.32,6.07,237.45,rice
90.05,35.09,42.31,25.4,83.2,6.52,214.22,rice
90.57,43.31,47.93,22.52,91.4,5.91,217.72,rice
92.94,41.4,36.89,24.58,83.52,6.32,232.74,rice
91.79,36.54,44.5,25.61,87.44,6.69,207.57,rice
87.2,43.74,43.05,24.96,85.35,6.88,211.13,rice
92.74,38.99,38.91,27.2,87.48,6.74,239.58,rice
90.11,43.41,38.45,25.65,84.61,6.53,228.93,rice
85.91,50.46,34.97,22.57,88.47,6.74,229.36,rice
93.14,39.94,35.51,25.15,82.97,6.79,217.79,rice
85.87,38.39,42.06,23.87,82.53,6.57,223.67,rice
87.47,37.64,41.16,22.1,80.78,6.28,216.8,rice
91.55,47.38,44.29,24.68,84.94,6.2,219.72,rice
88.56,41.61,35.86,26.04,89.6,6.47,226.03,rice
93.45,37.99,41.12,25.03,85.29,6.27,220.37,rice
92.49,47.26,44.8,29.31,82.7,6.76,222.75,rice
100.95,35.96,35.8,23.8,78.63,6.34,208.61,rice
90.75,41.71,49.38,26.9,83.27,6.23,227.38,rice
83.4,49.16,45.9,24.06,79.86,6.91,218.28,rice
96.19,32.03,37.0,25.01,85.14,6.36,229.34,rice
84.66,39.29,40.6,26.03,87.13,6.16,196.99,rice
96.39,41.66,36.26,28.1,85.35,6.85,221.01,rice
100.3,48.78,38.76,26.94,86.94,6.91,205.53,rice
93.43,45.29,31.21,22.63,78.88,6.42,230.76,rice
97.51,40.37,48.14,22.24,79.89,6.48,225.76,rice
89.84,29.66,39.55,22.39,87.01,6.61,205.9,rice
87.43,34.7,39.69,26.91,82.04,6.65,212.05,rice
86.04,39.46,34.82,23.89,81.41,7.09,220.53,rice
86.5,41.07,39.44,24.56,86.84,6.73,212.04,rice
87.12,38.62,28.49,21.97,89.1,6.99,216.26,rice
92.88,41.56,55.39,27.24,84.62,6.21,195.9,rice
91.02,36.22,32.89,23.71,81.76,7.01,233.22,rice
89.96,47.4,40.39,23.28,89.57,6.66,204.44,rice
89.05,35.62,33.09,26.85,90.73,6.08,228.44,rice
86.75,37.56,37.04,23.27,85.15,6.25,224.06,rice
89.75,38.81,35.46,23.85,87.27,6.65,205.34,rice
90.5,43.76,31.65,26.09,83.01,6.67,208.55,rice
80.98,31.86,40.24,25.52,82.29,6.69,195.08,rice
89.67,33.94,36.74,25.09,82.42,6.38,235.09,rice
87.12,44.18,34.35,26.06,89.32,5.76,208.05,rice
92.89,38.98,41.86,23.79,85.26,6.45,237.52,rice
91.27,41.69,37.94,24.02,83.7,6.62,213.69,rice
91.45,50.38,44.36,24.35,88.6,6.38,189.43,rice
84.96,30.65,38.24,25.04,90.03,6.6,216.71,rice
94.15,28.94,41.18,26.54,80.56,6.84,225.08,rice
87.92,43.16,51.35,25.36,85.74,6.36,207.25,rice
94.15,35.72,40.36,24.04,86.44,6.6,235.56,rice
87.45,38.65,35.11,24.11,86.13,6.73,206.17,rice
94.35,46.78,42.07,28.75,82.68,6.13,193.32,rice
97.48,43.27,39.72,25.56,81.62,7.23,221.94,rice
90.55,43.63,42.41,25.45,82.63,6.64,248.23,rice
96.73,47.97,37.44,23.02,84.62,6.52,236.41,rice
81.54,47.65,39.21,24.15,81.96,6.0,232.35,rice
90.37,33.55,33.52,24.33,90.01,6.42,197.45,rice
88.77,38.64,26.52,24.89,84.31,6.71,247.73,rice
95.63,38.66,34.47,30.15,85.18,6.5,219.64,rice
90.99,39.28,37.13,23.91,84.9,6.34,209.31,rice
90.53,38.73,47.52,19.7,88.27,6.87,188.9,rice
88.29,38.14,32.96,23.44,81.67,7.03,234.04,rice
96.36,43.61,34.35,23.95,86.47,6.13,230.69,rice
88.8,38.13,43.55,25.89,83.92,6.85,203.78,rice
93.08,42.97,38.45,25.65,81.25,6.78,217.23,rice
87.39,45.25,36.48,22.18,80.33,6.68,200.79,rice
98.77,29.59,48.48,25.42,84.71,6.34,225.99,rice
89.81,45.52,40.57,25.3,83.91,6.48,224.62,rice
81.45,33.26,43.72,25.34,84.45,6.51,225.21,rice
87.3,36.11,40.98,23.04,86.22,5.99,235.44,rice
92.36,41.28,44.91,28.33,88.04,5.95,200.81,rice
86.88,40.13,42.59,23.55,85.56,6.27,210.83,rice
82.97,35.38,33.24,23.05,88.16,6.22,259.49,rice
92.47,40.92,35.71,26.4,83.27,6.54,258.4,rice
89.52,45.75,36.48,24.93,90.31,6.31,247.19,rice
93.54,37.19,43.16,26.95,86.87,6.03,209.09,rice
88.76,39.63,43.1,25.36,80.99,6.61,229.16,rice
92.8,45.4,44.17,25.92,84.79,6.0,226.44,rice
91.04,41.36,33.62,22.84,88.16,6.49,230.22,rice
90.14,40.15,44.69,23.97,85.29,6.36,213.48,rice
88.45,41.11,37.61,27.51,82.32,6.44,213.4,rice
97.23,40.98,45.16,22.03,85.8,6.77,221.23,rice
95.33,37.41,47.05,29.6,83.91,6.37,241.8,rice
97.9,37.39,37.9,24.44,80.97,6.22,204.94,rice
86.16,39.83,41.17,28.1,82.0,6.8,216.79,rice
89.75,43.37,34.39,25.76,85.5,6.65,224.34,rice
102.28,36.81,37.35,23.75,83.33,6.31,237.84,rice
97.1,37.15,35.84,25.94,83.34,6.69,223.04,rice
82.42,47.74,48.98,23.77,83.84,6.59,225.02,rice
93.29,50.05,39.12,23.4,80.86,6.28,219.5,rice
98.97,37.41,41.12,24.97,88.57,7.26,212.04,rice
87.55,45.22,43.41,28.69,86.75,6.39,228.86,rice
95.54,44.1,42.54,27.13,88.51,6.91,229.73,rice
89.16,40.73,46.03,23.37,86.11,6.38,220.43,rice
96.39,40.96,40.23,22.28,87.24,6.69,252.45,rice
88.46,41.1,41.25,28.15,84.71,6.58,229.12,rice
90.93,37.77,40.97,27.15,81.92,6.54,209.5,rice
95.98,32.38,37.21,25.75,89.7,6.48,211.67,rice
99.41,32.76,29.01,25.88,83.49,6.19,230.63,rice
91.22,37.18,33.6,26.74,86.95,6.47,247.7,rice
84.65,32.37,36.54,24.91,85.73,6.43,225.28,rice
83.74,47.22,39.59,27.23,86.03,6.64,228.55,rice
92.24,43.21,46.65,25.39,87.13,6.47,241.6,rice
86.62,49.0,39.8,22.14,85.38,6.3,232.61,rice
86.74,37.77,30.55,24.1,77.73,6.02,231.41,rice
93.93,42.13,35.17,24.9,84.99,6.15,242.55,rice
94.39,38.9,40.13,25.42,78.87,6.43,209.77,rice
84.99,38.59,48.99,26.28,83.29,6.67,240.99,rice
94.62,40.3,36.77,26.4,86.18,6.77,229.53,rice
95.25,37.32,46.59,25.4,91.23,6.29,246.04,rice
90.99,36.74,37.58,24.36,86.27,6.66,211.39,rice
89.88,50.71,48.64,25.87,85.11,6.54,229.2,rice
84.89,38.71,31.66,25.8,86.94,6.36,243.61,rice
83.87,32.68,41.12,27.09,90.05,6.36,236.18,rice
89.81,39.14,44.42,26.3,80.27,6.94,240.7,rice
86.87,41.98,42.47,25.52,83.35,6.3,219.62,rice
95.86,42.72,38.15,26.54,76.45,6.84,193.9,rice
88.19,34.4,33.53,27.32,83.6,6.6,219.3,rice
92.39,40.38,33.59,26.99,83.52,6.03,213.58,rice
97.5,44.25,38.26,24.3,84.04,7.12,225.73,rice
92.15,45.15,41.19,24.48,84.41,6.48,219.44,rice
93.64,40.26,43.66,24.84,85.24,5.9,233.74,rice
91.73,44.99,25.52,29.18,84.58,6.83,204.4,rice
93.06,34.73,36.88,28.83,84.43,6.57,233.05,rice
92.48,40.75,41.82,29.81,84.83,6.56,235.76,rice
95.53,45.94,43.19,22.71,89.9,6.16,224.54,rice
86.23,39.68,41.64,25.64,86.27,6.98,226.8,rice
88.78,44.82,45.95,22.54,86.79,6.71,215.54,rice
96.88,39.25,40.63,24.65,85.05,6.17,198.4,rice
97.97,35.77,35.04,20.69,83.08,6.1,244.63,rice
95.05,36.56,51.26,26.96,84.03,5.75,254.36,rice
83.05,31.77,45.11,29.88,89.15,6.67,228.92,rice
94.27,43.79,41.41,25.21,84.81,6.27,215.79,rice
81.54,39.51,35.06,22.79,85.54,6.92,233.77,rice
82.15,35.05,44.7,23.04,84.33,6.67,205.47,rice
90.53,33.33,36.99,25.64,80.22,6.63,219.71,rice
92.76,41.12,46.82,25.25,83.71,6.54,228.15,rice
90.24,40.2,36.49,23.67,80.79,7.02,201.34,rice
86.54,36.41,44.47,24.41,88.74,6.3,224.18,rice
85.82,50.73,34.06,25.62,86.9,6.62,217.22,rice
89.35,40.22,39.26,26.93,91.63,6.33,199.45,rice
89.56,52.9,35.98,28.28,90.03,6.33,228.53,rice
98.14,38.1,38.98,23.84,81.96,6.31,201.64,rice
90.17,36.15,41.17,21.89,85.99,6.75,190.09,rice
91.87,46.14,33.95,28.35,86.26,6.29,219.16,rice
92.79,40.38,42.69,23.16,85.51,6.08,218.33,rice
85.48,36.32,46.18,27.18,86.83,6.17,215.25,rice
96.07,40.71,51.6,25.79,85.58,6.41,222.0,rice
89.24,43.54,44.78,23.43,81.01,5.95,227.62,rice
84.48,29.24,41.94,29.99,84.98,6.75,221.23,rice
89.51,44.6,38.55,25.53,85.97,6.3,234.88,rice
89.13,36.22,42.68,23.2,85.08,6.5,236.29,rice
92.37,39.87,44.09,27.78,86.67,6.5,200.32,rice
84.67,38.47,36.95,24.63,85.17,6.66,218.94,rice
92.43,40.32,30.12,23.12,84.57,6.14,229.0,rice
97.65,46.09,38.93,27.98,85.45,6.4,210.8,rice
88.49,38.06,40.85,25.32,85.01,6.63,237.86,rice
94.75,32.58,27.23,26.87,80.9,6.43,202.45,rice
80.99,42.71,43.8,23.85,77.23,6.34,225.88,rice
82.61,40.92,39.92,26.16,85.36,6.21,237.95,rice
89.21,39.86,35.33,24.11,82.35,6.45,245.68,rice
83.14,31.93,47.36,24.58,82.99,6.81,210.92,rice
99.13,43.39,37.56,29.31,83.18,6.72,224.49,rice
96.51,47.81,40.16,23.49,86.38,6.3,250.2,rice
90.68,38.17,40.92,22.31,82.09,6.86,210.15,rice
84.77,42.68,45.93,26.44,87.99,6.27,198.67,rice
97.51,38.39,38.75,27.66,86.67,6.64,252.48,rice
86.78,44.64,40.29,25.54,89.59,6.65,228.07,rice
95.36,38.18,35.8,22.91,79.1,7.12,203.45,rice
88.89,38.62,41.54,26.63,87.58,6.33,217.49,rice
91.41,38.76,48.04,25.98,87.2,6.7,237.6,rice
90.91,33.52,42.0,23.7,83.41,6.68,238.57,rice
90.11,41.54,48.51,25.48,92.81,6.67,193.59,rice
93.77,41.91,46.45,26.35,84.58,6.13,216.86,rice
85.75,37.1,42.94,28.34,86.18,6.14,226.67,rice
95.98,36.95,39.33,25.03,82.65,6.69,218.19,rice
92.1,35.56,37.81,26.44,83.88,7.02,214.01,rice
91.12,44.66,32.91,21.48,80.42,6.88,211.72,rice
102.79,37.18,40.92,28.08,91.02,7.12,238.13,rice
95.12,42.96,43.89,23.9,82.55,6.5,217.45,rice
87.73,43.48,44.78,25.18,89.43,6.16,217.1,rice
86.42,30.67,39.59,24.76,89.54,6.69,204.64,rice
99.27,46.11,42.91,24.55,82.12,6.39,236.33,rice
99.42,47.72,37.56,22.76,85.42,5.97,224.85,rice
89.26,37.67,32.03,26.03,83.4,6.15,176.92,rice
89.86,48.86,48.31,24.09,83.19,6.64,205.02,rice
91.51,43.83,46.13,24.8,84.39,6.24,207.6,rice
88.87,41.84,44.57,23.39,89.48,6.42,219.68,rice
86.26,27.88,44.42,26.47,84.16,6.52,227.74,rice
82.19,37.35,43.97,22.49,85.88,6.09,227.0,rice
89.82,31.92,45.82,23.53,82.57,6.56,237.23,rice
84.92,40.31,42.14,26.39,85.53,6.39,207.59,rice
90.43,34.64,25.39,25.87,87.71,5.79,204.85,rice
93.1,50.29,40.1,23.54,84.45,6.91,210.31,rice
86.0,37.59,35.23,25.25,89.87,6.6,216.21,rice
88.54,32.18,44.42,24.84,84.46,7.46,224.48,rice
86.24,37.87,45.74,25.23,80.69,6.78,209.98,rice
99.37,45.4,37.76,27.56,85.2,6.76,227.27,rice
85.77,36.78,45.15,24.33,83.79,6.21,226.35,rice
100.31,34.66,40.12,27.82,84.76,6.64,204.06,rice
92.14,39.06,44.93,27.37,92.77,6.67,224.89,rice
90.97,38.23,41.69,24.41,85.51,6.9,204.9,rice
95.7,46.59,39.41,20.76,83.18,6.89,219.66,rice
85.0,37.48,44.2,26.09,84.28,6.39,214.12,rice
85.39,48.08,38.39,27.43,89.56,6.8,213.53,rice
92.02,39.88,35.48,25.65,81.46,6.86,213.03,rice
91.01,41.42,38.71,26.17,83.58,6.76,199.81,rice
90.63,49.69,35.0,23.64,86.54,6.55,225.26,rice
92.45,43.17,45.55,25.82,84.28,6.7,248.5,rice
89.34,35.13,45.54,24.76,78.48,6.75,211.97,rice
89.55,41.66,40.95,26.42,83.69,6.65,216.11,rice
93.69,43.08,35.32,27.17,83.39,6.74,225.51,rice
99.19,38.88,38.25,24.96,84.09,6.74,195.76,rice
84.73,34.66,44.75,28.42,84.69,6.45,221.05,rice
95.81,35.36,41.19,26.95,86.5,6.56,235.02,rice
8.48,35.39,14.73,24.34,66.53,6.91,97.94,maize
